accepted_bin,wood_density,root_depth,leaf_n,leaf_p,stem_diameter,bark_thickness,seed_dry_mass,leaf_k,stomatal_conduct.,leaf_thickness,leaf_density,leaf_vcmax,conduit_diam.,crown_diameter,crown_height,tree_height,leaf_area,specific_leaf_area,shade,drought,water,cold,fire_tol,growth_rate
Abies balsamea,0.44325103602766514,2.9972,12.49149213230678,1.3516610058245624,0.806,7.992991460070389,16.372220285172265,5.059890437332934,55.83250355296859,0.5573582209690009,0.382041244501521,0.23169258658973424,17.8348143626367,9.325,29.931360000000005,40,26.924293951546417,6.607023901339871,5.01,1,2,-41.6,2,1
Abies fraseri,0.4297361598032659,2.3,15.29424886196171,1.5807378410012527,0.806,7.448873565222646,8.686217915213307,6.393287770190032,82.24167431950667,0.6808163088201101,0.4426369757377136,0.11186808455666818,15.435961513772588,9.325,21.35,49.99999999999999,23.02501708997813,7.266418588852719,5,2,2,-30.5,2,2
Acer negundo,0.5548603844245675,3.8,21.157165556609375,1.8411070918465648,0.7105548879716435,3.1344473192521543,32.170189230725505,9.420859790888295,174.9880954627375,0.1298442497197891,0.43682831466685695,0.5334399737608131,31.558506044269148,4.0996051018,18.1,37.99999999999999,3732.158550863229,27.98399556300249,3.47,3.03,2.75,-43.33,2,3
Acer pensylvanicum,0.4857093632362075,0.8128,16.533710199575232,1.9213084968644891,0.5,2.9961407130220294,28.803953665412287,9.660684725377145,171.47710965018177,0.08939274688417533,0.4937234052452777,0.522769658769509,31.72380283857009,4.0996051018,18.1,20.680000000000003,4583.695142509835,22.539525051892973,3.56,2,1,-43.89,3,1
Acer platanoides,0.48436434134524053,5.1,21.41054989645633,2.3921008710981413,1.3,3.626293897886765,85.46210724187384,9.862554160475842,91.38918470039016,0.1248140059204041,0.3764968566029467,0.5860215849555168,27.78265634984376,4.0996051018,18.1,40,3404.6710726421547,20.973167757272588,NA,NA,NA,NA,NA,NA
Acer rubrum,0.5933045094969797,3.5,19.423379405194133,1.593959254686851,1.3,6.847980892302926,19.60776039996073,6.046987825704667,96.76329575765828,0.101955969356357,0.4587574086937761,0.5172696518283566,27.678370093832573,4.0996051018,14.799999999999995,40,2982.4442494554664,17.88284797647624,3.44,1.84,3.08,-43.89,2,3
Acer saccharinum,0.5571123164487551,3.5,22.88890753538804,2.447325958418491,1.3,6.6078913203716985,51.208851321404616,6.383956908275295,91.11531234340644,0.11199607438286052,0.4417338268237335,0.5524729318735959,27.78265634984376,4.0996051018,14.799999999999995,40,1498.3357298480405,21.84067444231945,3.6,2.88,3.37,-43.89,2,3
Acer saccharum,0.7112661868535517,5.1,18.549183288738224,1.844901271936777,1.3,3.2347627437656112,83.20219959462845,8.115074968030049,89.94325483071228,0.1069025182420409,0.4024210020786279,0.5335817004782841,31.65974613340252,4.0996051018,18.1,41.00000000000001,3676.4053420721343,21.60777834224256,4.76,2.25,1.09,-43.89,2,1
Acer spicatum,0.5566790810854437,1.5,21.74080811912051,2.4301819117140977,0.6972,3.1344473192521543,28.308761095897452,9.420859790888295,174.9880954627375,0.13057440392072622,0.32658274748401833,0.5334399737608131,31.558506044269148,4.0996051018,18.1,37.99999999999999,3403.974253109266,30.538753841558044,3.31,2,2,-43.89,4,2
Aesculus glabra,0.4224470150082737,1.28016,22.481170301365903,2.330308099308275,0.3419515972084168,3.970795589487946,10537.809936605589,12.388815002375974,277.4715219255731,0.14666465572074913,0.4217140338461802,0.3029483640110166,30.734443629733292,4.0996051018,5.6,44.50000000000001,5422.117495699156,24.272009848377156,3.49,2.88,1.27,-36.11,2,3
