SPCD,species,accepted_bin
10,Abies,NA
11,Abies amabilis,Abies amabilis
12,Abies balsamea,Abies balsamea
14,Abies bracteata,Abies bracteata
15,Abies concolor,Abies concolor
16,Abies fraseri,Abies fraseri
17,Abies grandis,Abies grandis
18,Abies lasiocarpa,Abies lasiocarpa
19,Abies lasiocarpa,Abies lasiocarpa
20,Abies magnifica,Abies magnifica
21,Abies shastensis,Abies magnifica
22,Abies procera,Abies procera
40,Chamaecyparis,NA
41,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana
42,Chamaecyparis nootkatensis,Cupressus nootkatensis
43,Chamaecyparis thyoides,Chamaecyparis thyoides
50,Cupressus,NA
51,Cupressus arizonica,Cupressus arizonica
52,Cupressus bakeri,Cupressus bakeri
53,Cupressus forbesii,NA
54,Cupressus macrocarpa,Cupressus macrocarpa
55,Cupressus sargentii,Cupressus sargentii
56,Cupressus macnabiana,Cupressus macnabiana
57,Juniperus,NA
58,Juniperus pinchotii,Juniperus pinchotii
59,Juniperus coahuilensis,Juniperus coahuilensis
60,Juniperus flaccida,Juniperus flaccida
61,Juniperus ashei,Juniperus ashei
62,Juniperus californica,Juniperus californica
63,Juniperus deppeana,Juniperus deppeana
64,Juniperus occidentalis,Juniperus occidentalis
65,Juniperus osteosperma,Juniperus osteosperma
66,Juniperus scopulorum,Juniperus scopulorum
67,Juniperus virginiana,Juniperus virginiana
68,Juniperus virginiana,Juniperus virginiana
69,Juniperus monosperma,Juniperus monosperma
70,Larix,NA
71,Larix laricina,Larix laricina
72,Larix lyallii,Larix lyallii
73,Larix occidentalis,Larix occidentalis
74,Larix kaempferi,Larix kaempferi
75,Larix sibirica,Larix sibirica
81,Calocedrus decurrens,Calocedrus decurrens
90,Picea,NA
91,Picea abies,Picea abies
92,Picea breweriana,Picea breweriana
93,Picea engelmannii,Picea engelmannii
94,Picea glauca,Picea glauca
95,Picea mariana,Picea mariana
96,Picea pungens,Picea pungens
97,Picea rubens,Picea rubens
98,Picea sitchensis,Picea sitchensis
100,Pinus,NA
101,Pinus albicaulis,Pinus albicaulis
102,Pinus aristata,Pinus aristata
103,Pinus attenuata,Pinus attenuata
104,Pinus balfouriana,Pinus balfouriana
105,Pinus banksiana,Pinus banksiana
106,Pinus edulis,Pinus edulis
107,Pinus clausa,Pinus clausa
108,Pinus contorta,Pinus contorta
