"","PID","speciesRichness","shannonDiversity"
"1","0_41_27_51502_502",3,0.801818552543337
"2","0_41_27_53572_502",5,1.38318366446982
"3","0_41_27_54714_502",5,0.945351209530503
"4","0_41_27_54732_502",5,0.745740170586414
"5","0_41_27_54957_502",7,1.25713379354977
"6","0_41_27_55211_502",2,0.680629487891663
"7","0_41_27_56058_502",2,0.436162325385344
"8","0_41_27_59348_502",5,1.21784542834763
"9","0_41_27_60043_502",6,1.60687256899144
"10","0_41_27_60948_502",2,0.500402423538188
"11","0_41_27_61002_502",5,0.976416513447304
"12","0_41_27_61115_502",3,0.781247443822624
"13","0_41_27_61244_502",1,0
"14","0_41_27_61497_502",1,0
"15","0_41_27_61625_502",3,0.443306691468087
"16","0_41_27_62612_502",3,0.730659490657208
"17","0_41_27_63324_502",2,0.126930545341402
"18","0_41_27_64189_502",4,0.986283373498943
"19","0_41_27_65084_502",6,1.38766179353536
"20","0_41_27_66356_502",2,0.562335144618808
"21","0_41_27_66388_502",6,1.43214239084179
"22","0_41_27_67451_502",3,0.779749783934534
"23","0_41_27_67472_502",7,1.5268057270336
"24","0_41_27_67492_502",2,0.348832095843032
"25","0_41_27_71532_502",2,0.500402423538188
"26","0_41_27_71571_502",4,0.881613819894908
"27","0_41_27_72243_502",5,0.999067747767052
"28","0_41_27_74208_502",1,0
"29","0_41_27_74571_502",5,1.0903326347921
"30","0_41_27_76155_502",4,0.885574151576672
"31","0_41_27_78524_502",5,1.30961770088557
"32","0_41_27_79052_502",4,1.11658216673568
"33","0_41_27_83335_502",4,0.633663256977656
"34","0_41_27_85322_502",4,1.01194942757104
"35","0_41_27_85682_502",4,0.979820322305389
"36","0_41_27_86011_502",4,0.85381108008326
"37","0_41_27_86160_502",4,1.03176711135054
"38","0_41_27_87408_502",4,1.12467028923762
"39","0_41_27_88284_502",1,0
"40","0_41_27_88603_502",5,1.09280100642011
"41","0_41_27_89083_502",4,1.2094329322493
"42","0_41_27_90198_502",4,1.20479330969478
